,title,year,rating,metascore,certificate,votes,runtime,gener,director,star1,star2,star3,star4,gross
188,The Best Exotic Marigold Hotel,2011,7.3,62,UA,"91,013",124 min,"Comedy, Drama, Romance            ",John Madden,Judi Dench,Bill Nighy,Maggie Smith,Tom Wilkinson,$46.41M
189,Raat Akeli Hai,2020,7.3,na,18,"15,054",149 min,"Crime, Drama, Mystery            ",Honey Trehan,Nawazuddin Siddiqui,Radhika Apte,Aditya Srivastav,Padmavati Rao,0
190,Ghajini,2008,7.3,na,UA,"57,000",186 min,"Action, Drama, Mystery            ",A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan,Pradeep Singh Rawat,$2.43M
191,Bhool Bhulaiyaa,2007,7.3,na,UA,"22,194",159 min,"Comedy, Horror, Mystery            ",Priyadarshan,Akshay Kumar,Vidya Balan,Shiney Ahuja,Ameesha Patel,$1.07M
192,Dhamaal,2007,7.3,na,U,"13,512",136 min,"Action, Adventure, Comedy            ",Indra Kumar,Sanjay Dutt,Riteish Deshmukh,Arshad Warsi,Javed Jaffrey,0
193,Monsoon Wedding,2001,7.3,77,A,"23,552",114 min,"Comedy, Drama, Romance            ",Mira Nair,Naseeruddin Shah,Lillete Dubey,Shefali Shah,Vijay Raaz,$13.88M
194,Ghulam,1998,7.3,na,A,"10,919",162 min,"Action, Crime, Drama            ",Vikram Bhatt,Aamir Khan,Rani Mukerji,Rajit Kapoor,Mita Vashisht,0
195,Maine Pyar Kiya,1989,7.3,na,U,"10,747",192 min,"Drama, Musical, Romance            ",Sooraj R. Barjatya,Salman Khan,Bhagyashree,Alok Nath,Rajeev Verma,0
196,A Passage to India,1984,7.3,78,U,"17,269",164 min,"Adventure, Drama, History            ",David Lean,Judy Davis,Victor Banerjee,Peggy Ashcroft,James Fox,$27.19M
197,Ittefaq,2017,7.2,na,UA,"10,536",105 min,"Mystery, Thriller            ",Abhay Chopra,Sidharth Malhotra,Sonakshi Sinha,Akshaye Khanna,Mandira Bedi,$0.30M
198,Jolly LLB 2,2017,7.2,na,UA,"22,524",137 min,"Comedy, Drama            ",Subhash Kapoor,Akshay Kumar,Huma Qureshi,Saurabh Shukla,Annu Kapoor,$1.63M
199,Toilet - Ek Prem Katha,2017,7.2,na,UA,"18,424",155 min,"Comedy, Drama            ",Shree Narayan Singh,Anupam Kher,Akshay Kumar,Bhumi Pednekar,Divyendu Sharma,$1.83M
200,NH10,2015,7.2,na,A,"12,251",115 min,"Action, Crime, Drama            ",Navdeep Singh,Anushka Sharma,Neil Bhoopalam,Darshan Kumaar,Deepti Naval,0
201,Holiday,2014,7.2,na,UA,"25,732",160 min,"Action, Thriller            ",A.R. Murugadoss,Akshay Kumar,Sonakshi Sinha,Freddy Daruwala,Sumeet Raghvan,$0.71M
202,Talaash,2012,7.2,65,UA,"39,793",140 min,"Crime, Drama, Mystery            ",Reema Kagti,Priyamvada Narayanan,Aamir Khan,Kareena Kapoor,Rani Mukerji,$2.71M
203,No One Killed Jessica,2011,7.2,na,A,"11,088",136 min,"Biography, Crime, Drama            ",Raj Kumar Gupta,Rani Mukerji,Vidya Balan,Myra Karn,Neil Bhoopalam,$0.44M
204,Tere Bin Laden,2010,7.2,na,NA ,"10,194",95 min,"Comedy, Drama            ",Abhishek Sharma,Ali Zafar,Pradhuman Singh,Piyush Mishra,Nikhil Ratnaparkhi,0
205,Band Baaja Baaraat,2010,7.2,na,U,"15,355",139 min,"Comedy, Drama, Romance            ",Maneesh Sharma,Ranveer Singh,Anushka Sharma,Ranjit Batra,Manu Rishi Chadha,0
206,Paa,2009,7.2,30,U,"11,390",133 min,"Comedy, Drama            ",R. Balki,Amitabh Bachchan,Abhishek Bachchan,Vidya Balan,Paresh Rawal,$0.20M
207,Rab Ne Bana Di Jodi,2008,7.2,na,U,"44,301",167 min,"Comedy, Drama, Music            ",Aditya Chopra,Shah Rukh Khan,Anushka Sharma,Vinay Pathak,M.K. Raina,$2.07M
208,The Darjeeling Limited,2007,7.2,67,R,"183,282",91 min,"Adventure, Comedy, Drama            ",Wes Anderson,Owen Wilson,Adrien Brody,Jason Schwartzman,Amara Karan,$11.90M
209,Don,I) (,7.2,na,UA,"34,657",178 min,"Action, Crime, Thriller            ",Farhan Akhtar,Shah Rukh Khan,Priyanka Chopra,Arjun Rampal,Isha Koppikar,$0.80M
210,Fanaa,2006,7.2,na,U,"31,159",168 min,"Action, Drama, Romance            ",Kunal Kohli,Aamir Khan,Kajol,Rishi Kapoor,Tabu,$2.10M
211,Gadar: Ek Prem Katha,2001,7.2,na,UA,"10,097",170 min,"Action, Drama, Romance            ",Anil Sharma,Sunny Deol,Ameesha Patel,Amrish Puri,Lillete Dubey,0
212,Kabir Singh,2019,7.1,na,A,"26,881",173 min,"Action, Drama, Romance            ",Sandeep Reddy Vanga,Shahid Kapoor,Kiara Advani,Nikita Dutta,Soham Majumdar,0
213,Sonu Ke Titu Ki Sweety,2018,7.1,na,UA,"19,666",138 min,"Comedy, Romance            ",Luv Ranjan,Kartik Aaryan,Nushrat Bharucha,Sunny Singh Nijjar,Alok Nath,0
214,Khuda Haafiz,2020,7.1,na,PG,"15,577",133 min,"Action, Drama, Thriller            ",Faruk Kabir,Vidyut Jammwal,Shivaleeka Oberoi,Annu Kapoor,Aahana Kumra,0
215,The White Tiger,2021,7.1,76,16,"44,592",125 min,"Crime, Drama            ",Ramin Bahrani,Adarsh Gourav,Rajkummar Rao,Priyanka Chopra,Vedant Sinha,0
216,Kaabil,2017,7.1,na,UA,"24,520",139 min,"Action, Crime, Drama            ",Sanjay Gupta,Hrithik Roshan,Yami Gautam,Ronit Roy,Rohit Roy,0
217,Rustom,2016,7.1,na,UA,"23,804",148 min,"Crime, Drama, Thriller            ",Dharmendra Suresh Desai,Akshay Kumar,Manoj Bajpayee,Ileana D'Cruz,Hiten Patel,$1.09M
218,Myeong-ryang,2014,7.1,na,NA ,"10,568",128 min,"Action, Drama, History            ",Han-min Kim,Choi Min-sik,Seung-ryong Ryu,Cho Jin-woong,Myung-gon Kim,$2.59M
219,Gabbar Is Back,2015,7.1,na,UA,"22,846",128 min,"Action, Crime, Drama            ",Radha Krishna Jagarlamudi,Akshay Kumar,Shruti Haasan,Kareena Kapoor,Suman,0
220,Table No.21,2013,7.1,na,A,"11,490",108 min,"Adventure, Drama, Thriller            ",Aditya Datt,Paresh Rawal,Rajeev Khandelwal,Tina Desai,Dhruv Ganesh,$0.03M
221,Yeh Jawaani Hai Deewani,2013,7.1,na,UA,"38,966",160 min,"Drama, Musical, Romance            ",Ayan Mukherjee,Ranbir Kapoor,Deepika Padukone,Aditya Roy Kapoor,Kalki Koechlin,$3.83M
222,Karthik Calling Karthik,2010,7.1,na,NA ,"10,784",135 min,"Drama, Mystery, Romance            ",Vijay Lalwani,Farhan Akhtar,Deepika Padukone,Ram Kapoor,Shefali Shah,$0.26M
223,Rajneeti,2010,7.1,na,UA,"16,532",163 min,"Crime, Drama, Thriller            ",Prakash Jha,Ranbir Kapoor,Ajay Devgn,Nana Patekar,Katrina Kaif,$1.44M
224,Don 2,2011,7.1,49,UA,"49,808",148 min,"Action, Crime, Thriller            ",Farhan Akhtar,Shah Rukh Khan,Florian Lukas,Om Puri,Priyanka Chopra,$3.68M
225,Namastey London,2007,7.1,na,UA,"20,741",128 min,"Comedy, Drama, Romance            ",Vipul Amrutlal Shah,Akshay Kumar,Katrina Kaif,Rishi Kapoor,Clive Standen,$1.21M
226,Tere Naam,2003,7.1,na,UA,"16,478",132 min,"Action, Drama, Romance            ",Satish Kaushik,Salman Khan,Bhoomika Chawla,Sachin Khedekar,Savita Prabhune,0
227,Harold & Kumar Go to White Castle,2004,7.1,64,A,"183,353",88 min,"Adventure, Comedy            ",Danny Leiner,John Cho,Kal Penn,Ethan Embry,Rob Tinkler,$18.23M
228,Wazir,I) (,7.1,na,UA,"17,566",103 min,"Action, Crime, Drama            ",Bejoy Nambiar,Amitabh Bachchan,Farhan Akhtar,Aditi Rao Hydari,John Abraham,$0.59M
229,Koi... Mil Gaya,2003,7.1,na,U,"21,544",171 min,"Action, Drama, Romance            ",Rakesh Roshan,Hrithik Roshan,Rekha,Preity Zinta,Rakesh Roshan,$0.68M
230,Mohabbatein,2000,7.1,na,U,"27,606",216 min,"Musical, Drama, Romance            ",Aditya Chopra,Amitabh Bachchan,Shah Rukh Khan,Uday Chopra,Jugal Hansraj,0
231,Seven Years in Tibet,1997,7.1,55,U,"131,994",136 min,"Adventure, Biography, Drama            ",Jean-Jacques Annaud,Brad Pitt,David Thewlis,BD Wong,Mako,$37.96M
232,Dream Girl,III),7.0,na,UA,"11,851",132 min,"Comedy, Romance            ",Raaj Shaandilyaa,Ayushmann Khurrana,Nushrat Bharucha,Annu Kapoor,Manjot Singh,0
233,Good Newwz,2019,7.0,na,UA,"14,932",134 min,Comedy            ,Raj Mehta,Akshay Kumar,Kareena Kapoor,Diljit Dosanjh,Kiara Advani,0
234,Padmaavat,2018,7.0,63,UA,"28,029",164 min,"Drama, History, Romance            ",Sanjay Leela Bhansali,Deepika Padukone,Ranveer Singh,Shahid Kapoor,Aditi Rao Hydari,$11.85M
235,Sultan,2016,7.0,na,UA,"38,354",170 min,"Action, Drama, Sport            ",Ali Abbas Zafar,Salman Khan,Anushka Sharma,Randeep Hooda,Kubbra Sait,$6.20M
236,Fan,I) (,7.0,na,UA,"42,599",142 min,"Action, Drama, Thriller            ",Maneesh Sharma,Shah Rukh Khan,Sayani Gupta,Carolina Main,Shriya Pilgaonkar,$1.36M
237,Aashiqui 2,2013,7.0,na,U,"26,950",132 min,"Drama, Music, Musical            ",Mohit Suri,Aditya Roy Kapoor,Shraddha Kapoor,Shaad Randhawa,Salil Acharya,0
238,Million Dollar Arm,2014,7.0,56,PG,"43,965",124 min,"Biography, Drama, Sport            ",Craig Gillespie,Jon Hamm,Aasif Mandvi,Alan Arkin,Suraj Sharma,$36.45M
239,Dhobi Ghat,2010,7.0,55,A,"12,580",100 min,Drama            ,Kiran Rao,Prateik,Monica Dogra,Kriti Malhotra,Aamir Khan,$0.58M
240,AK vs AK,2020,7.0,na,16,"11,802",108 min,"Action, Comedy, Crime            ",Vikramaditya Motwane,Anil Kapoor,Anurag Kashyap,Sonam Kapoor,Harshvardhan Kapoor,0
241,Outsourced,2006,7.0,70,PG-13,"11,374",103 min,"Comedy, Drama, Romance            ",John Jeffcoat,Josh Hamilton,Ayesha Dharker,Asif Basra,Matt Smith,$0.16M
242,Hum Tum,2004,7.0,na,U,"13,360",143 min,"Comedy, Drama, Romance            ",Kunal Kohli,Saif Ali Khan,Rani Mukerji,Kirron Kher,Rati Agnihotri,$0.35M
243,Main Hoon Na,2004,7.0,na,UA,"32,617",179 min,"Action, Comedy, Drama            ",Farah Khan,Shah Rukh Khan,Sushmita Sen,Sunil Shetty,Zayed Khan,$1.72M
244,Pardes,1997,7.0,na,U,"13,830",191 min,"Drama, Musical, Romance            ",Subhash Ghai,Shah Rukh Khan,Mahima Chaudhry,Amrish Puri,Apoorva Agnihotri,0
245,Dil To Pagal Hai,1997,7.0,na,U,"20,921",180 min,"Comedy, Drama, Musical            ",Yash Chopra,Shah Rukh Khan,Madhuri Dixit,Karisma Kapoor,Akshay Kumar,0
246,The Half of It,I) (,6.9,74,13,"29,757",104 min,"Comedy, Drama, Romance            ",Alice Wu,Leah Lewis,Daniel Diemer,Alexxis Lemire,Wolfgang Novogratz,0
247,Mulk,I) (,6.9,na,UA,"13,988",140 min,Drama            ,Anubhav Sinha,Taapsee Pannu,Ashutosh Rana,Rishi Kapoor,Prateik,0
248,The Lion King,2019,6.9,55,U,"217,344",118 min,"Animation, Adventure, Drama            ",Jon Favreau,Donald Glover,Beyoncé,Seth Rogen,Chiwetel Ejiofor,$543.64M
249,Ocean's Eight,2018,6.9,61,UA,"192,158",110 min,"Action, Comedy, Crime            ",Gary Ross,Sandra Bullock,Cate Blanchett,Anne Hathaway,Mindy Kaling,$140.22M
250,Dil Dhadakne Do,2015,6.9,na,UA,"15,366",170 min,"Comedy, Drama, Romance            ",Zoya Akhtar,Anil Kapoor,Shefali Shah,Priyanka Chopra,Ranveer Singh,0
251,Fukrey,2013,6.9,na,UA,"10,610",139 min,"Comedy, Drama, Romance            ",Mrighdeep Lamba,Pulkit Samrat,Manjot Singh,Ali Fazal,Varun Sharma,$0.12M
252,2 States,2014,6.9,na,UA,"23,714",149 min,"Comedy, Drama, Romance            ",Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,Revathi,$2.22M
253,Agneepath,2012,6.9,na,UA,"22,592",174 min,"Action, Crime, Drama            ",Karan Malhotra,Hrithik Roshan,Priyanka Chopra,Sanjay Dutt,Rishi Kapoor,$1.98M
