,title,year,rating,certificate,votes,runtime,gener,voice_artist1,voice_artist2,voice_artist3,voice_artist4
356,Himouto! Umaruchan,2015–    ,7,NA,"1,098",24,"Animation, Comedy            ",Aimi Tanaka,Akari Kageyama,Emily Neves,Sara Ornelas
357,Date a Live,2013–    ,7,NA,"2,235",25,"Animation, Action, Comedy            ",Josh Grelle,Bryn Apprill,Michelle Rojas,Michelle Lee
358,Rozario to banpaia,2008,7,NA,"2,583",25,"Animation, Comedy, Fantasy            ",Daisuke Kishio,Nana Mizuki,Tia Lynn Ballard,Leah Clark
359,Zero no tsukaima,2006–    ,7,NA,"1,760",24,"Animation, Action, Adventure            ",Rie Kugimiya,Satoshi Hino,Nicholas Manelick,Jonathan Meza
360,Tenjô tenge,2004,7,NA,"1,154",23,"Animation, Action, Comedy            ",Kim Strauss,Jun'ichi Suwabe,Christopher Corey Smith,Aya Hisakawa
361,Tokyo Mew Mew,2002–2003,7,NA,"1,047",30,"Animation, Action, Adventure            ",Veronica Taylor,Saki Nakajima,Megumi Ogata,Kôichi Tôchika
362,Jûbê ninpûchô: Ryûhôgyoku-hen,2003–    ,7,NA,"1,488",30,"Animation, Action, Adventure            ",Rikiya Koyama,David Rasner,Houko Kuwashima,Daisy Tormé
363,Onegai Teacher,2002–    ,7,NA,"1,072",25,"Animation, Comedy, Romance            ",Sôichirô Hoshi,Kikuko Inoue,Ayako Kawasumi,Sayaka Ôhara
364,Scryed,2001–    ,7,NA,"1,043",50,"Animation, Action, Adventure            ",Steve Blum,Carrie Savage,Jason Spisak,Kirk Thornton
365,Rabu Hina,2000–2001,7,NA,"2,092",50,"Animation, Comedy, Drama            ",Yûji Ueda,Yui Horie,Masayo Kurata,Yu Asakawa
366,Ultraman,2019–    ,6.9,NA,"1,607",25,"Animation, Action, Sci-Fi            ",D.C. Douglas,Josh Hutcherson,Cristina Valenzuela,Tara Sands
367,Tokyo Ghoul: re,2018,6.9,18,"6,851",24,"Animation, Action, Drama            ",Natsuki Hanae,Austin Tindle,Adam Gibbs,Mikaela Krantz
368,Sword Art Online Alternative: Gun Gale Online,2018–    ,6.9,NA,"1,697",24,"Animation, Action, Adventure            ",Tomori Kusunoki,Yôko Hikasa,Kazuyuki Okitsu,Morgan Berry
369,Kuzu no honkai,2017,6.9,18,"1,274",22,"Animation, Drama, Romance            ",Chika Anzai,Shintarô Asanuma,Greg Cote,Maggie Flecknoe
370,Danganronpa: Kibô no gakuen to zetsubô no kôkôsei - The animation,2013,6.9,NA,"1,848",25,"Animation, Action, Crime            ",Megumi Ogata,Yôko Hikasa,Chiwa Saitô,Nobuyo Ôyama
371,Freezing,2011–    ,6.9,NA,"1,338",24,"Animation, Action, Romance            ",Caitlin Glass,Josh Grelle,Jamie Marchi,Tia Lynn Ballard
372,To aru majutsu no indekkusu,2008–2019,6.9,NA,"1,567",23,"Animation, Action, Comedy            ",Monica Rial,Micah Solusod,Alexis Tipton,Caitlin Glass
373,Arifureta Shokugyou de Sekai Saikyou,2019–    ,6.9,NA,"1,271",23,"Animation, Action, Adventure            ",Tia Lynn Ballard,Matt Shipman,AmaLee,Patrick Seitz
374,.hack//SIGN,2002–2003,6.9,NA,"1,199",25,"Animation, Action, Adventure            ",Megumi Toyoguchi,Kazuhiro Nakata,Amanda Winn Lee,Paul Mercier
375,Bakuten shoot beyblade,2001–2005,6.9,7,"5,347",30,"Animation, Action, Family            ",Marlowe Gardiner-Heslin,Alex Hood,Gage Knox,Daniel DeSanto
376,Medabots,1999–2004,6.9,NA,"2,112",30,"Animation, Sci-Fi, Action            ",Laurent Vernin,Dwayne Hill,Julie Lemieux,Terry McGurrin
377,Sirius the Jaeger,2018–    ,6.8,NA,"1,396",25,"Animation, Action, History            ",Yûto Uemura,Ken'yû Horiuchi,Nanako Mori,Yûsuke Kobayashi
378,Gakusen toshi asterisk,2015–    ,6.8,NA,"1,544",23,"Animation, Action, Comedy            ",Atsushi Tamaru,Ai Kakuma,Kira Buckland,Erik Scott Kimerer
379,Attack on Titan: Junior High,2015,6.8,NA,"1,365",17,"Animation, Action, Adventure            ",Yûki Kaji,Yui Ishikawa,Marina Inoue,Kishô Taniyama
380,High-Rise Invasion,2021–    ,6.8,18,"1,155",25,"Animation, Action, Horror            ",Haruka Shiraishi,Shiki Aoki,Yuichiro Umehara,Zeno Robinson
381,Yûgiô: 5D's,2008–2011,6.8,NA,"1,383",30,"Animation, Action, Adventure            ",Gregory Abbey,Ted Lewis,Marc Diraison,Jason Griffith
382,Yu-Gi-Oh! GX,2004–2008,6.8,NA,"4,034",30,"Animation, Action, Adventure            ",Matthew Labyorteaux,Wayne Grayson,Tony Salerno,Kanako Irie
383,Dejimon furontiâ,2002–2003,6.8,NA,"2,321",30,"Animation, Action, Adventure            ",Rica Fukami,Sawa Ishige,Masami Kikuchi,Michael Shitanda
384,Dragon Ball GT: Doragon bôru jîtî,1996–2003,6.8,NA,"24,010",24,"Animation, Action, Adventure            ",Elise Baughman,Andrew Chandler,Masako Nozawa,Yûko Minaguchi
385,Monster Musume no Iru Nichijou,2015–    ,6.7,NA,"1,768",23,"Animation, Comedy, Fantasy            ",Junji Majima,Sora Amamiya,Bryson Baugus,Allison L. Sumrall
386,Shinmai Maou no Testament,2015–    ,6.7,NA,"1,743",24,"Animation, Action, Fantasy            ",Brian Beacock,Kira Buckland,Lauren Landa,Yûichi Nakamura
387,Hoshi no Kirby,2001–2003,6.7,NA,"1,306",21,"Animation, Action, Adventure            ",Ted Lewis,Madeleine Blaustein,Jerry Lobozzo,Kerry Williams
388,Mitsubachi Mâya no bôken,1975–1980,6.7,NA,"3,763",30,"Animation, Adventure, Comedy            ",Doris Jensen,Kurt Zips,Arthur Holden,Michiko Nomura
389,Death March kara Hajimaru Isekai Kyousoukyoku,2018–    ,6.6,NA,"1,214",24,"Animation, Adventure, Comedy            ",Justin Briner,Brittney Karbowski,Margaret McDonald,Brittany Lauda
390,Kappa Mikey,2006–2008,6.5,NA,"1,022",22,"Animation, Adventure, Comedy            ",Jesse Adams,Michael Sinterniklaas,Sean Schemmel,Gary Littman
391,7Seeds,2019–    ,6.4,16,"1,055",25,"Animation, Action, Adventure            ",Scott Gibbs,Alejandro Saab,Jad Saxton,Amber Lee Connors
392,Satsuriku no Tenshi,2018–    ,6.4,NA,"1,163",24,"Animation, Adventure, Horror            ",Haruka Chisuga,Meg McClain,Dallas Reid,Derick Snow
393,Iron Man,2010,6.4,NA,"1,109",25,"Animation, Action, Sci-Fi            ",Adrian Pasdar,Ben Diskin,Eden Riegel,Laura Bailey
394,Nihon Chinbotsu 2020,2020–    ,6.4,18,"2,360",25,"Animation, Adventure, Drama            ",Ryan Bartley,Billy Kametz,Faye Mata,Grace Lynn Kung
395,Tottoko Hamutaro,2000–2006,6.4,NA,"1,949",30,"Animation, Adventure, Comedy            ",Kurumi Mamiya,Ellen Kennedy,Chris Kalhoon,Ted Cole
396,Citrus,2018–    ,6.3,NA,"1,433",24,"Animation, Drama, Romance            ",Amber Lee Connors,Yukiyo Fujii,Margaret McDonald,Megan Shipman
397,Blood-C,2011,6.3,NA,"1,212",25,"Animation, Action, Fantasy            ",Alexis Tipton,Scott Freeman,Todd Haberkorn,Bill Jenkins
398,Kaifuku Jutsushi no Yarinaoshi,2021–    ,6.2,NA,"1,076",24,"Animation, Action, Adventure            ",Yuya Hozumi,Ayano Shibuya,Shizuka Ishigami,Mami Fujita
399,Hi Hi Puffy AmiYumi,2004–2006,6.2,NA,"3,417",25,"Animation, Short, Adventure            ",Keone Young,Grey Griffin,Janice Kawaye,Ami Onuki
400,Sonic X,2003–2006,6.2,NA,"3,828",30,"Animation, Action, Adventure            ",Gabriella Lewis,Jun'ichi Kanemaru,Sanae Kobayashi,Jason Griffith
401,Sukûru deizu,2007,6,NA,"2,033",25,"Animation, Drama, Romance            ",Daisuke Hirakawa,Shiho Kawaragi,Tae Okajima,Keiko Imoto
402,Ikki tôsen,2003–    ,6,NA,"1,032",30,"Animation, Action, Adventure            ",Yûko Kaida,Masumi Asano,Satoshi Hino,Kikuko Inoue
403,Metaru faito Beibureedo,2009–2013,5.9,NA,"1,159",30,"Animation, Action, Family            ",Jason Deline,Carter Hayden,Andrew Jackson,Scott Gorman
404,Ben 10: Omniverse,2012–2014,5.8,7,"3,410",22,"Animation, Action, Adventure            ",Yuri Lowenthal,Bumper Robinson,Eric Bauza,Paul Eiding
405,Bakugan Battle Brawlers,2007–2010,5.5,NA,"2,277",22,"Animation, Action, Adventure            ",Jason Deline,Julie Lemieux,Carter Hayden,Shawn Meunier
406,Star Wars: Resistance,2018–2020,5,NA,"4,379",30,"Animation, Action, Adventure            ",Christopher Sean,Scott Lawrence,Josh Brener,Suzie McGrath
407,Seinto Seiya: Knights of the Zodiac,2019–2020,4.5,NA,"1,641",25,"Animation, Action, Adventure            ",Bryson Baugus,Marty Fleck,Emily Neves,Ty Mahany
