,title,year,rating,certificate,votes,runtime,gener,voice_artist1,voice_artist2,voice_artist3,voice_artist4
97,Berusaiyu no bara,1979–1980,8.3,NA,"1,748",24,"Animation, Drama, Romance            ",Reiko Tajima,Tarô Shigaki,Hisashi Katsuta,Nachi Nozawa
98,Dokutaa Sutoon,2019–    ,8.2,13,"10,999",23,"Animation, Action, Adventure            ",Yûsuke Kobayashi,Manami Numakura,Gen Satô,Ayumu Murase
99,Castlevania,2017–    ,8.2,18,"40,027",23,"Animation, Action, Adventure            ",Richard Armitage,James Callis,Alejandra Reynoso,Theo James
100,Food Wars: Shokugeki no Soma,2015–    ,8.2,13,"7,177",24,"Animation, Comedy, Drama            ",Yoshitsugu Matsuoka,Minami Takahashi,Maaya Uchida,Ai Kayano
101,Kuroshitsuji: Book of Circus,2014–    ,8.2,NA,"1,540",50,"Animation, Comedy, Fantasy            ",Matthew Mercer,Chafûrin,Shunji Fujimura,Jun Fukuyama
102,Psycho-Pass,2012–    ,8.2,16,"16,173",25,"Animation, Action, Crime            ",Kana Hanazawa,Miyuki Sawashiro,Noriko Hidaka,Shizuka Itô
103,Chihayafuru,2011–    ,8.2,NA,"1,019",22,"Animation, Comedy, Drama            ",Asami Seto,Mamoru Miyano,Tôru Nara,Ai Kayano
104,Ano hi mita hana no namae o bokutachi wa mada shiranai.,2011,8.2,NA,"10,067",23,"Animation, Adventure, Drama            ",Miyu Irino,Ai Kayano,Haruka Tomatsu,Takahiro Sakurai
105,Shijou Saikyou no Deshi Kenichi,2006–2014,8.2,NA,"1,883",25,"Animation, Action, Comedy            ",Tomokazu Seki,Tomoko Kawakami,Sonny Strait,Vic Mignogna
106,Dragon Ball Kai: Doragon bôru kai,2009–2015,8.2,NA,"20,151",24,"Animation, Action, Adventure            ",Masako Nozawa,Jôji Yanami,Sean Schemmel,Richard Ian Cox
107,Dota: Dragon's Blood,2021–    ,8.2,18,"8,415",25,"Animation, Action, Adventure            ",Yuri Lowenthal,Lara Pulver,Dee Bradley Baker,Freya Tingley
108,Dorohedoro,2020–    ,8.2,18,"5,118",25,"Animation, Action, Comedy            ",Wataru Takagi,Reina Kondou,Ken'yû Horiuchi,Yoshimasa Hosoya
109,Nodame kantâbire,2007–    ,8.2,NA,"1,089",25,"Animation, Comedy, Drama            ",Laura Bailey,Bob Buchholz,Joe Cappelletti,Doug Erholtz
110,Planetes,2003–2004,8.2,NA,"3,322",25,"Animation, Drama, Sci-Fi            ",Joe Cappelletti,Nao Nagasawa,Beau Billingslea,Phillip Gramm
111,Ôran kôkô hosutobu,2006,8.2,NA,"8,441",24,"Animation, Comedy, Romance            ",Maaya Sakamoto,Mamoru Miyano,Masaya Matsukaze,Kenichi Suzumura
112,Azumanga daiô,2002,8.2,NA,"2,736",24,"Animation, Comedy            ",Tomoko Kaneda,Yuki Matsuoka,Chieko Higuchi,Rie Tanaka
113,CardCaptors,2000–    ,8.2,NA,"1,069",30,"Animation, Action, Drama            ",Carly McKillip,Kelly Sheridan,Matt Hill,Tony Sampson
114,Initial D: Second Stage,1999–2000,8.2,NA,"1,050",25,"Animation, Action, Comedy            ",Chris Ayres,Greg Ayres,Christopher Bevins,Steve Blum
115,Watashi no ashinaga ojisan,1990–    ,8.2,NA,"1,287",24,"Animation, Comedy, Drama            ",Mitsuko Horie,Chie Satô,NA,NA
116,Kidô senshi Z Gundam,1985–1986,8.2,NA,"1,051",30,"Animation, Action, Drama            ",Nobuo Tobita,Shûichi Ikeda,Hirotaka Suzuoki,Miyuki Matsuoka
117,Ranma ½: Nettô-hen,1989–1992,8.2,NA,"1,336",30,"Animation, Action, Comedy            ",Ken'ichi Ogata,Noriko Hidaka,Andrea Kwan,Myriam Sirois
118,Tate no Yuusha no Nariagari,2018–    ,8.1,NA,"6,881",24,"Animation, Action, Adventure            ",Kaito Ishikawa,Asami Seto,Billy Kametz,Erica Mendez
119,Seishun Buta Yaro wa Bunny Girl-senpai no Yume wo Minai,2018–    ,8.1,NA,"4,962",24,"Animation, Drama, Fantasy            ",Kaito Ishikawa,Asami Seto,Yurika Kubo,Atsumi Tanezaki
120,Aggretsuko,2018–    ,8.1,13,"4,963",15,"Animation, Comedy, Drama            ",Ben Diskin,Erica Mendez,G.K. Bowes,Katelyn Gault
121,Black Clover,2017–2021,8.1,13,"10,565",24,"Animation, Action, Adventure            ",Dallas Reid,Cris George,Jill Harris,Micah Solusod
122,Re:Zero kara hajimeru isekai seikatsu,2016–    ,8.1,16,"12,111",24,"Animation, Adventure, Drama            ",Yûsuke Kobayashi,Rie Takahashi,Sean Chiplock,Rie Murakawa
123,Doraemon,2005–    ,8.1,U,"1,728",30,"Animation, Comedy, Drama            ",Wasabi Mizuta,Megumi Ohara,Yumi Kakazu,Tomokazu Seki
